Calories (g), Calories/Fat (g), Total Fat (g), Saturated Fat (g), Cholesterol (mg), Trans Fat (g), Sodium (mg), Total Carbs (g), Sugars (g), Dietary Fiber (g), Protein (g), Vitamin A, Vitamin C, Calcium, Iron
'TEQUILA TEMPTRESS', 215.0, 0.0, 0.0, 0.0, 0.0, 0.0, 216.0, 24.0, 13.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0
'TORCHY'S PALOMA', 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 210.0, 16.0, 15.0, 0.0, 0.0, 2.0, 8.0, 0.0, 0.0
'TORCHY'S TINI', 319.0, 9.0, 1.0, 0.0, 0.0, 0.0, 786.0, 32.0, 23.0, 1.0, 0.0, 1.0, 19.0, 1.0, 1.0
'WHISKEY TANGO', 147, 0, 0, 0, 0, 0, 9, 2, 12, 0, 0, 4, 11, 0, 1
'ALABAMA SHAKE ON FLOUR WITH AVOCADO SAUCE', 263.0, 117.0, 13.0, 3.0, 38.0, 0.0, 710.0, 25.0, 5.0, 1.0, 13.0, 35.0, 16.0, 7.0, 2.0
'ALABAMA SHAKE ON CORN WITH AVOCADO SAUCE', 283.0, 99.0, 11.0, 3.0, 38.0, 0.0, 530.0, 35.0, 4.0, 1.0, 12.0, 35.0, 16.0, 7.0, 2.0
'BAJA SHRIMP ON CORN WITH CHIPOTLE SAUCE', 444, 261, 29, 5, 104, 0, 769, 34, 3, 1, 12, 48, 15, 9, 9
'BAJA SHRIMP ON FLOUR WITH CHIPOTLE SAUCE', 424, 279, 31, 5, 104, 0, 949, 24, 4, 1, 14, 48, 15, 9, 9
'GC = BAJA SHRIMP GRILLED ON CORN WITH CHIPOTLE SAUCE', 422.0, 261.0, 29.0, 5.0, 88.0, 0.0, 580.0, 30.0, 3.0, 1.0, 11.0, 47.0, 15.0, 8.0, 8.0
'BEEF FAJITA ON CORN WITH ROJA SAUCE', 436.0, 234.0, 26.0, 9.0, 67.0, 1.0, 513.0, 30.0, 3.0, 1.0, 23.0, 26.0, 35.0, 11.0, 10.0
